[2026-03-03T08:06:06.679+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline.extract_timesheets manual__2026-03-03T08:06:04.255902+00:00 [queued]>
[2026-03-03T08:06:30.801+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:31.031+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:31.266+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:31.515+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:31.746+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:32.064+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:32.216+0000] {extract_bronze.py:88} INFO - Loaded 3258 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:32.216+0000] {extract_bronze.py:93} INFO - Total timesheet rows loaded: 412571
[2026-03-03T08:06:32.217+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-03-03T08:06:32.237+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=etl_pipeline, task_id=extract_timesheets, execution_date=20260303T080604, start_date=20260303T080606, end_date=20260303T080632
[2026-03-03T08:06:32.270+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-03-03T08:06:32.297+0000] {taskinstance.py:3280} INFO - 1 downstream tasks scheduled from follow-on schedule check
